[Jan/20/2020 | 15:17:59.959] [LOG]    |2337267 archive downloaded
[Jan/20/2020 | 15:17:59.959] [LOG]    |2337267 Extracting . . .
[Jan/20/2020 | 15:18:06.811] [LOG]    |2337271 starting download. . .
[Jan/20/2020 | 15:18:11.130] [LOG]    94428|2337267|2019-11-02 imported to Map table.
[Jan/20/2020 | 15:19:04.840] [LOG]    |2337271 archive downloaded
[Jan/20/2020 | 15:19:04.840] [LOG]    |2337271 Extracting . . .
[Jan/20/2020 | 15:19:08.093] [LOG]    |2337548 starting download. . .
[Jan/20/2020 | 15:19:10.370] [LOG]    94430|2337271|2019-11-02 imported to Map table.
[Jan/20/2020 | 15:22:04.936] [LOG]    |2337272 archive downloaded
[Jan/20/2020 | 15:22:04.937] [LOG]    |2337272 Extracting . . .
[Jan/20/2020 | 15:22:19.399] [LOG]    2337272 already downloaded or downloading (/home/jcm/matches/2337272/archive.rar), skipping. . .
[Jan/20/2020 | 15:22:19.442] [LOG]    94433|2337272|Sat, 02 Nov 2019 17:00:00 GMT
[Jan/20/2020 | 15:22:19.442] [LOG]    [Error: EEXIST: file already exists, open '/home/jcm/matches/2337272/archive.rar'] {
  errno: -17,
  code: 'EEXIST',
  syscall: 'open',
  path: '/home/jcm/matches/2337272/archive.rar'
}
[Jan/20/2020 | 15:22:20.409] [LOG]    |2337488 starting download. . .
[Jan/20/2020 | 15:22:24.254] [LOG]    94436|2337272 1 Orphan(s) found
[Jan/20/2020 | 15:22:28.410] [LOG]    94436|2337272|2019-11-02 imported to Map table.
[Jan/20/2020 | 15:22:31.171] [LOG]    94433|2337272|2019-11-02 imported to Map table.
[Jan/20/2020 | 15:22:49.784] [LOG]    |2337548 archive downloaded
[Jan/20/2020 | 15:22:49.784] [LOG]    |2337548 Extracting . . .
[Jan/20/2020 | 15:23:01.597] [LOG]    |2337487 starting download. . .
[Jan/20/2020 | 15:23:05.205] [LOG]    			 94426/2337548 Fetched matchMapStats. (No orphans found.)
[Jan/20/2020 | 15:23:07.229] [LOG]    94421|2337548|2019-11-02 imported to Map table.
[Jan/20/2020 | 15:23:09.712] [LOG]    94426|2337548|2019-11-02 imported to Map table.
[Jan/20/2020 | 15:25:31.915] [LOG]    |2337488 archive downloaded
[Jan/20/2020 | 15:25:31.916] [LOG]    |2337488 Extracting . . .
